0, 202, 0.9262295081967213
0, 203, 0.9262295081967213
0, 204, 0.9262295081967213
0, 205, 0.9262295081967213
0, 206, 0.9262295081967213
0, 207, 0.9262295081967213
0, 208, 0.9262295081967213
0, 209, 0.9262295081967213
0, 210, 0.9262295081967213
0, 211, 0.9262295081967213
0, 212, 0.9262295081967213
0, 213, 0.9262295081967213
0, 214, 0.9262295081967213
0, 215, 0.9262295081967213
0, 216, 0.9262295081967213
0, 217, 0.9262295081967213
0, 218, 0.9262295081967213
0, 219, 0.9262295081967213
0, 220, 0.9262295081967213
0, 221, 0.9262295081967213
0, 222, 0.9262295081967213
0, 223, 0.9262295081967213
0, 224, 0.9262295081967213
0, 225, 0.9262295081967213
0, 226, 0.9262295081967213
0, 227, 0.9262295081967213
0, 228, 0.9262295081967213
0, 229, 0.9262295081967213
0, 230, 0.9262295081967213
0, 231, 0.9262295081967213
0, 232, 0.9262295081967213
0, 233, 0.9262295081967213
0, 234, 0.9262295081967213
0, 235, 0.9262295081967213
0, 236, 0.9262295081967213
0, 237, 0.9262295081967213
0, 238, 0.9262295081967213
0, 239, 0.9262295081967213
0, 240, 0.9262295081967213
0, 241, 0.9262295081967213
0, 242, 0.9262295081967213
0, 243, 0.9262295081967213
0, 244, 0.9262295081967213
0, 245, 0.9262295081967213
0, 246, 0.9262295081967213
0, 247, 0.9262295081967213
0, 248, 0.9262295081967213
0, 249, 0.9262295081967213
0, 250, 0.9262295081967213
0, 251, 0.9262295081967213
0, 252, 0.9262295081967213
0, 253, 0.9262295081967213
0, 254, 0.9262295081967213
0, 255, 0.9262295081967213
0, 256, 0.9262295081967213
0, 257, 0.9262295081967213
0, 258, 0.9262295081967213
0, 259, 0.9262295081967213
0, 260, 0.9262295081967213
0, 261, 0.9262295081967213
0, 262, 0.9262295081967213
0, 263, 0.9262295081967213
0, 264, 0.9262295081967213
0, 265, 0.9262295081967213
0, 266, 0.9262295081967213
0, 267, 0.9262295081967213
0, 268, 0.9262295081967213
0, 269, 0.9262295081967213
0, 270, 0.9262295081967213
0, 271, 0.9262295081967213
0, 272, 0.9262295081967213
0, 273, 0.9262295081967213
0, 274, 0.9262295081967213
0, 275, 0.9262295081967213
0, 276, 0.9262295081967213
0, 277, 0.9262295081967213
0, 278, 0.9262295081967213
0, 279, 0.9262295081967213
0, 280, 0.9262295081967213
0, 281, 0.9262295081967213
0, 282, 0.9262295081967213
0, 283, 0.9262295081967213
0, 284, 0.9262295081967213
0, 285, 0.9262295081967213
0, 286, 0.9262295081967213
0, 287, 0.9262295081967213
0, 288, 0.9262295081967213
0, 289, 0.9262295081967213
0, 290, 0.9262295081967213
0, 291, 0.9262295081967213
0, 292, 0.9262295081967213
0, 293, 0.9262295081967213
0, 294, 0.9262295081967213
0, 295, 0.9262295081967213
0, 296, 0.9262295081967213
0, 297, 0.9262295081967213
0, 298, 0.9262295081967213
0, 299, 0.9262295081967213
0, 300, 0.9262295081967213
0, 301, 0.9262295081967213
0, 302, 0.9262295081967213
0, 303, 0.9262295081967213
0, 304, 0.9262295081967213
0, 305, 0.9262295081967213
0, 306, 0.9262295081967213
0, 307, 0.9262295081967213
0, 308, 0.9262295081967213
0, 309, 0.9262295081967213
0, 310, 0.9262295081967213
0, 311, 0.9262295081967213
0, 312, 0.9262295081967213
0, 313, 0.9262295081967213
0, 314, 0.9262295081967213
0, 315, 0.9262295081967213
0, 316, 0.9262295081967213
0, 317, 0.9262295081967213
0, 318, 0.9262295081967213
0, 319, 0.9262295081967213
0, 320, 0.9262295081967213
0, 321, 0.9262295081967213
0, 322, 0.9262295081967213
0, 323, 0.9262295081967213
0, 324, 0.9262295081967213
0, 325, 0.9262295081967213
0, 326, 0.9262295081967213
0, 327, 0.9262295081967213
0, 328, 0.9262295081967213
0, 329, 0.9262295081967213
0, 330, 0.9262295081967213
0, 331, 0.9262295081967213
0, 332, 0.9262295081967213
0, 333, 0.9262295081967213
0, 334, 0.9262295081967213
0, 335, 0.9262295081967213
0, 336, 0.9262295081967213
0, 337, 0.9262295081967213
0, 338, 0.9262295081967213
0, 339, 0.9262295081967213
0, 340, 0.9262295081967213
0, 341, 0.9262295081967213
0, 342, 0.9262295081967213
0, 343, 0.9262295081967213
0, 344, 0.9262295081967213
0, 345, 0.9262295081967213
0, 346, 0.9262295081967213
0, 347, 0.9262295081967213
0, 348, 0.9262295081967213
0, 349, 0.9262295081967213
0, 350, 0.9262295081967213
0, 351, 0.9262295081967213
0, 352, 0.9262295081967213
0, 353, 0.9262295081967213
0, 354, 0.9262295081967213
0, 355, 0.9262295081967213
0, 356, 0.9262295081967213
0, 357, 0.9262295081967213
0, 358, 0.9262295081967213
0, 359, 0.9344262295081968
0, 360, 0.9344262295081968
0, 361, 0.9344262295081968
0, 362, 0.9344262295081968
0, 363, 0.9344262295081968
0, 364, 0.9344262295081968
0, 365, 0.9344262295081968
0, 366, 0.9344262295081968
0, 367, 0.9344262295081968
0, 368, 0.9344262295081968
0, 369, 0.9344262295081968
0, 370, 0.9344262295081968
0, 371, 0.9344262295081968
0, 372, 0.9344262295081968
0, 373, 0.9344262295081968
0, 374, 0.9344262295081968
0, 375, 0.9344262295081968
0, 376, 0.9344262295081968
0, 377, 0.9344262295081968
0, 378, 0.9344262295081968
0, 379, 0.9344262295081968
0, 380, 0.9344262295081968
0, 381, 0.9344262295081968
0, 382, 0.9344262295081968
0, 383, 0.9344262295081968
0, 384, 0.9344262295081968
0, 385, 0.9344262295081968
0, 386, 0.9344262295081968
0, 387, 0.9344262295081968
0, 388, 0.9344262295081968
0, 389, 0.9344262295081968
0, 390, 0.9344262295081968
0, 391, 0.9344262295081968
0, 392, 0.9344262295081968
0, 393, 0.9344262295081968
0, 394, 0.9344262295081968
0, 395, 0.9344262295081968
0, 396, 0.9344262295081968
0, 397, 0.9344262295081968
0, 398, 0.9344262295081968
0, 399, 0.9344262295081968
0, 400, 0.9344262295081968
0, 401, 0.9344262295081968
0, 402, 0.9344262295081968
0, 403, 0.9344262295081968
0, 404, 0.9344262295081968
0, 405, 0.9344262295081968
0, 406, 0.9344262295081968
0, 407, 0.9344262295081968
0, 408, 0.9344262295081968
0, 409, 0.9344262295081968
0, 410, 0.9344262295081968
0, 411, 0.9344262295081968
0, 412, 0.9344262295081968
0, 413, 0.9344262295081968
0, 414, 0.9344262295081968
0, 415, 0.9344262295081968
0, 416, 0.9344262295081968
0, 417, 0.9344262295081968
0, 418, 0.9344262295081968
0, 419, 0.9344262295081968
0, 420, 0.9344262295081968
0, 421, 0.9344262295081968
0, 422, 0.9344262295081968
0, 423, 0.9344262295081968
0, 424, 0.9344262295081968
0, 425, 0.9344262295081968
0, 426, 0.9344262295081968
0, 427, 0.9344262295081968
0, 428, 0.9344262295081968
0, 429, 0.9344262295081968
0, 430, 0.9344262295081968
0, 431, 0.9344262295081968
0, 432, 0.9344262295081968
0, 433, 0.9344262295081968
0, 434, 0.9344262295081968
0, 435, 0.9344262295081968
0, 436, 0.9344262295081968
0, 437, 0.9344262295081968
0, 438, 0.9344262295081968
0, 439, 0.9344262295081968
0, 440, 0.9344262295081968
0, 441, 0.9344262295081968
0, 442, 0.9344262295081968
0, 443, 0.9344262295081968
0, 444, 0.9344262295081968
0, 445, 0.9344262295081968
0, 446, 0.9344262295081968
0, 447, 0.9344262295081968
0, 448, 0.9344262295081968
0, 449, 0.9344262295081968
0, 450, 0.9344262295081968
0, 451, 0.9344262295081968
0, 452, 0.9344262295081968
0, 453, 0.9344262295081968
0, 454, 0.9344262295081968
0, 455, 0.9344262295081968
0, 456, 0.9344262295081968
0, 457, 0.9344262295081968
0, 458, 0.9344262295081968
0, 459, 0.9344262295081968
0, 460, 0.9344262295081968
0, 461, 0.9344262295081968
0, 462, 0.9344262295081968
0, 463, 0.9344262295081968
0, 464, 0.9344262295081968
0, 465, 0.9344262295081968
0, 466, 0.9344262295081968
0, 467, 0.9344262295081968
0, 468, 0.9344262295081968
0, 469, 0.9344262295081968
0, 470, 0.9344262295081968
0, 471, 0.9344262295081968
0, 472, 0.9344262295081968
0, 473, 0.9344262295081968
0, 474, 0.9344262295081968
0, 475, 0.9344262295081968
0, 476, 0.9344262295081968
0, 477, 0.9344262295081968
0, 478, 0.9344262295081968
0, 479, 0.9344262295081968
0, 480, 0.9344262295081968
0, 481, 0.9344262295081968
0, 482, 0.9344262295081968
0, 483, 0.9344262295081968
0, 484, 0.9344262295081968
0, 485, 0.9344262295081968
0, 486, 0.9344262295081968
0, 487, 0.9344262295081968
0, 488, 0.9344262295081968
0, 489, 0.9344262295081968
0, 490, 0.9344262295081968
0, 491, 0.9344262295081968
0, 492, 0.9344262295081968
0, 493, 0.9344262295081968
0, 494, 0.9344262295081968
0, 495, 0.9344262295081968
0, 496, 0.9344262295081968
0, 497, 0.9344262295081968
0, 498, 0.9344262295081968
0, 499, 0.9344262295081968
